date,totals
2015-04-01,6951
2015-04-01,44972
2015-04-01,106032
2015-04-01,20361
2015-04-01,3081
2015-04-01,31657
2015-04-01,38008
2015-04-01,18739
2015-04-01,31164
2015-04-01,4697
2015-05-01,45128
2015-05-01,6168
2015-05-01,24503
2015-05-01,16258
2015-05-01,119574
2015-05-01,33062
2015-05-01,24571
2015-05-01,3683
2015-05-01,53
2015-05-01,77601
2015-05-01,32956
2015-05-01,1145
2015-05-01,9975
2015-05-01,76538
2015-05-01,64608
2015-05-01,7597
2015-05-01,12249
2015-05-01,271614
2015-05-01,20941
2015-05-01,5860
2015-05-01,8105
2015-05-01,11907
2015-05-01,32961
2015-05-01,37779
2015-05-01,13803
2015-05-01,37565
2015-05-01,9364
2015-05-01,4500
2015-05-01,9959
2015-05-01,10564
2015-05-01,6704
2015-05-01,11021
2015-05-01,21977
2015-05-01,32357
2015-05-01,4683
2015-05-01,49428
2015-05-01,23210
2015-05-01,19292
2015-05-01,62676
2015-05-01,1543
2015-05-01,20254
2015-05-01,6436
2015-05-01,40597
2015-05-01,111012
2015-05-01,18544
2015-05-01,2172
2015-05-01,28447
2015-05-01,33943
2015-05-01,15288
2015-05-01,24362
2015-05-01,4612
2015-06-01,45952
2015-06-01,5830
2015-06-01,22999
2015-06-01,15372
2015-06-01,112704
2015-06-01,31777
2015-06-01,24605
2015-06-01,3332
2015-06-01,49
2015-06-01,79101
2015-06-01,34674
2015-06-01,1213
2015-06-01,9373
2015-06-01,80431
2015-06-01,62755
2015-06-01,7359
2015-06-01,10463
2015-06-01,242027
2015-06-01,21042
2015-06-01,6151
2015-06-01,8826
2015-06-01,11383
2015-06-01,30723
2015-06-01,33553
2015-06-01,13111
2015-06-01,37010
2015-06-01,8529
2015-06-01,4369
2015-06-01,9186
2015-06-01,9881
2015-06-01,7007
2015-06-01,9969
2015-06-01,22717
2015-06-01,33889
2015-06-01,4481
2015-06-01,49297
2015-06-01,21793
2015-06-01,17765
2015-06-01,64122
2015-06-01,1512
2015-06-01,20763
2015-06-01,5645
2015-06-01,42558
2015-06-01,106461
2015-06-01,20684
2015-06-01,2135
2015-06-01,27904
2015-06-01,32783
2015-06-01,14695
2015-06-01,22715
2015-06-01,4388
2015-07-01,56762
2015-07-01,6029
2015-07-01,23779
2015-07-01,17694
2015-07-01,140365
2015-07-01,31280
2015-07-01,22195
2015-07-01,3275
2015-07-01,64
2015-07-01,83877
2015-07-01,39608
2015-07-01,1157
2015-07-01,8675
2015-07-01,95297
2015-07-01,52154
2015-07-01,8356
2015-07-01,12248
2015-07-01,220018
2015-07-01,23822
2015-07-01,6549
2015-07-01,8595
2015-07-01,11898
2015-07-01,32153
2015-07-01,31732
2015-07-01,16575
2015-07-01,37539
2015-07-01,8713
2015-07-01,4596
2015-07-01,8829
2015-07-01,9404
2015-07-01,6588
2015-07-01,10404
2015-07-01,21821
2015-07-01,37651
2015-07-01,4593
2015-07-01,49952
2015-07-01,23594
2015-07-01,18003
2015-07-01,65250
2015-07-01,1461
2015-07-01,25017
2015-07-01,5914
2015-07-01,57873
2015-07-01,106013
2015-07-01,17259
2015-07-01,2219
2015-07-01,32419
2015-07-01,34177
2015-07-01,15607
2015-07-01,24350
2015-07-01,4371
2015-08-01,62770
2015-08-01,6976
2015-08-01,25003
2015-08-01,21087
2015-08-01,125122
2015-08-01,36156
2015-08-01,21514
2015-08-01,3459
2015-08-01,67
